id,question_number,passage,question,answer,prompt,question_page_screenshot_paths,answer_page_screenshot_paths
q001,1,"Use the following passage to answer questions 1 and 2.

Of the numerous American automotive pioneers, perhaps among the best known are Charles and Frank Duryea. Beginning their work of automobile building in Springfield,   
5 Massachusetts, and, after much rebuilding, they constructed their first successful vehicle in 1892 and 1893. No sooner was this finished than Frank, working alone, began work on a second vehicle having a two-cylinder engine. With this   
10 automobile, sufficient capital was attracted in 1895 to form the Duryea Motor Wagon Company in which both brothers were among the stockholders and directors. A short time after the formation of the company, this second   
15 automobile was entered by the company in the Chicago Times-Herald automobile race on Thanksgiving Day, November 28, 1895, where Frank Duryea won a victory over the other five contestants—two electric automobiles and   
20 three Benz machines imported from Germany.

Source: Excerpt from The 1893 Duryea Automobile by Don H. Berkebile.","1. Which of the following is the best summary of the passage?

a. There were many automotive pioneers in America, but the best known were the brothers Charles and Frank Duryea, who began building automobiles in Springfield, Massachusetts.
b. Charles and Frank Duryea were among the best-known American automotive pioneers, but Frank was more famous than his brother Charles because Frank won the Chicago Times-Herald automobile race.   
c. On Thanksgiving Day, November 28, 1895, Frank Duryea won the Chicago Times-Herald automobile race over five other contestants: two electric automobiles and three Benz machines from Germany.   
d. Charles and Frank Duryea were pioneering automobile builders, and Frank developed a profitable two-cylinder engine vehicle with which he won the Chicago Times-Herald automobile race.   
e. Although Frank Duryea developed a two-cylinder engine vehicle, both he and his brother Charles profited from it because it earned them the capital to start the Duryea Motor Wagon Company.",1. d. Only choice d sums up all the most important details in the passage. Choice a only summarizes the passage's opening sentences. Choice b makes a statement about the individual brothers' popularity that the passage does not actually support. Choices c and e are just details in the passage and fail to summarize all of its most important details.,"Use the following passage to answer questions 1 and 2.

Of the numerous American automotive pioneers, perhaps among the best known are Charles and Frank Duryea. Beginning their work of automobile building in Springfield,   
5 Massachusetts, and, after much rebuilding, they constructed their first successful vehicle in 1892 and 1893. No sooner was this finished than Frank, working alone, began work on a second vehicle having a two-cylinder engine. With this   
10 automobile, sufficient capital was attracted in 1895 to form the Duryea Motor Wagon Company in which both brothers were among the stockholders and directors. A short time after the formation of the company, this second   
15 automobile was entered by the company in the Chicago Times-Herald automobile race on Thanksgiving Day, November 28, 1895, where Frank Duryea won a victory over the other five contestants—two electric automobiles and   
20 three Benz machines imported from Germany.

Source: Excerpt from The 1893 Duryea Automobile by Don H. Berkebile.

1. Which of the following is the best summary of the passage?

a. There were many automotive pioneers in America, but the best known were the brothers Charles and Frank Duryea, who began building automobiles in Springfield, Massachusetts.
b. Charles and Frank Duryea were among the best-known American automotive pioneers, but Frank was more famous than his brother Charles because Frank won the Chicago Times-Herald automobile race.   
c. On Thanksgiving Day, November 28, 1895, Frank Duryea won the Chicago Times-Herald automobile race over five other contestants: two electric automobiles and three Benz machines from Germany.   
d. Charles and Frank Duryea were pioneering automobile builders, and Frank developed a profitable two-cylinder engine vehicle with which he won the Chicago Times-Herald automobile race.   
e. Although Frank Duryea developed a two-cylinder engine vehicle, both he and his brother Charles profited from it because it earned them the capital to start the Duryea Motor Wagon Company.

Answer with the letter(s) only (e.g., A or AB). No explanation needed.",[],
q002,2,"Use the following passage to answer questions 1 and 2.

Of the numerous American automotive pioneers, perhaps among the best known are Charles and Frank Duryea. Beginning their work of automobile building in Springfield,   
5 Massachusetts, and, after much rebuilding, they constructed their first successful vehicle in 1892 and 1893. No sooner was this finished than Frank, working alone, began work on a second vehicle having a two-cylinder engine. With this   
10 automobile, sufficient capital was attracted in 1895 to form the Duryea Motor Wagon Company in which both brothers were among the stockholders and directors. A short time after the formation of the company, this second   
15 automobile was entered by the company in the Chicago Times-Herald automobile race on Thanksgiving Day, November 28, 1895, where Frank Duryea won a victory over the other five contestants—two electric automobiles and   
20 three Benz machines imported from Germany.

Source: Excerpt from The 1893 Duryea Automobile by Don H. Berkebile.","2. In the passage, the author describes the kinds of cars Frank Duryea defeated in the Chicago Times-Herald automobile race in order to

a. show that the best automobiles in the world are built in Springfield, Massachusetts.   
b. imply that he would later develop an electric car for the Duryea Motor Wagon Company.   
c. indicate that the quality of automobiles being developed in Europe was very poor at the time.   
d. suggest that the kind of car he drove is what helped him win the race.   
e. help the reader understand the differences between two-cylinder vehicles and electric automobiles.","2. d. Since the author had described the kind of automobile Frank Duryea drove in the race, the author likely mentions the types of cars Duryea beat to suggest that it was their innate qualities that caused them to lose the race. The author is not likely making a general statement about the automobiles built in Springfield, Massachusetts (choice a) or the rest of the world (choice c). There is also no evidence to support the prediction in choice b, and there are not enough details about the mechanical properties of two-cylinder and electric vehicles to support the conclusion in choice e.","Use the following passage to answer questions 1 and 2.

Of the numerous American automotive pioneers, perhaps among the best known are Charles and Frank Duryea. Beginning their work of automobile building in Springfield,   
5 Massachusetts, and, after much rebuilding, they constructed their first successful vehicle in 1892 and 1893. No sooner was this finished than Frank, working alone, began work on a second vehicle having a two-cylinder engine. With this   
10 automobile, sufficient capital was attracted in 1895 to form the Duryea Motor Wagon Company in which both brothers were among the stockholders and directors. A short time after the formation of the company, this second   
15 automobile was entered by the company in the Chicago Times-Herald automobile race on Thanksgiving Day, November 28, 1895, where Frank Duryea won a victory over the other five contestants—two electric automobiles and   
20 three Benz machines imported from Germany.

Source: Excerpt from The 1893 Duryea Automobile by Don H. Berkebile.

2. In the passage, the author describes the kinds of cars Frank Duryea defeated in the Chicago Times-Herald automobile race in order to

a. show that the best automobiles in the world are built in Springfield, Massachusetts.   
b. imply that he would later develop an electric car for the Duryea Motor Wagon Company.   
c. indicate that the quality of automobiles being developed in Europe was very poor at the time.   
d. suggest that the kind of car he drove is what helped him win the race.   
e. help the reader understand the differences between two-cylinder vehicles and electric automobiles.

Answer with the letter(s) only (e.g., A or AB). No explanation needed.",[],
q003,3,"Use the following passage to answer questions 3 through 5.

It is not always easy to identify a stone, even with a fresh surface; in a weathered specimen it is often impossible. For this reason the material of which a specimen is made may not be correctly named; frequently the alteration due to exposure will change the appearance of a rock very much, and in such a case the best that can be done is to tell what it looks most like. The material of a majority of specimens, however, or at least the classes of rock to which they belong, as granite, porphyry, etc., are correctly named; to give a more exact name would be possible only by the destruction or injury of the specimen.

Source: Excerpt from Stone Art by Gerard Fowke","3. The author's ideas could best be reinforced with illustrations of rocks

a. in different stages of weathering.   
b. in the granite and porphyry classes.   
c. procured from the bottom of the ocean.   
d. that have been completely destroyed.   
e. commonly found in most areas of the United States.","3. a. The author spends much of the passage explaining how difficult it is to identify rocks that have been weathered. This point would be stronger if the reader could actually see how significantly weathering alters the appearance of rocks. The author only mentions the granite and porphyry classes as examples of rocks that might be misclassified, so illustrations of them would not reinforce the author's ideas very much. Therefore, choice b is not the best answer. There is no mention of rocks that have been procured from the bottom of the ocean, so choice c does not make much sense. There is no discussion of rocks commonly found in the United States, so choice e is not a very strong answer either. Although the author mentions that destroying rocks may help them to be identified, this is not as important an idea in the passage as is the weathering of rocks, so choice a remains a better answer choice than choice d.","Use the following passage to answer questions 3 through 5.

It is not always easy to identify a stone, even with a fresh surface; in a weathered specimen it is often impossible. For this reason the material of which a specimen is made may not be correctly named; frequently the alteration due to exposure will change the appearance of a rock very much, and in such a case the best that can be done is to tell what it looks most like. The material of a majority of specimens, however, or at least the classes of rock to which they belong, as granite, porphyry, etc., are correctly named; to give a more exact name would be possible only by the destruction or injury of the specimen.

Source: Excerpt from Stone Art by Gerard Fowke

3. The author's ideas could best be reinforced with illustrations of rocks

a. in different stages of weathering.   
b. in the granite and porphyry classes.   
c. procured from the bottom of the ocean.   
d. that have been completely destroyed.   
e. commonly found in most areas of the United States.

Answer with the letter(s) only (e.g., A or AB). No explanation needed.",[],
q004,4,"Use the following passage to answer questions 3 through 5.

It is not always easy to identify a stone, even with a fresh surface; in a weathered specimen it is often impossible. For this reason the material of which a specimen is made may not be correctly named; frequently the alteration due to exposure will change the appearance of a rock very much, and in such a case the best that can be done is to tell what it looks most like. The material of a majority of specimens, however, or at least the classes of rock to which they belong, as granite, porphyry, etc., are correctly named; to give a more exact name would be possible only by the destruction or injury of the specimen.

Source: Excerpt from Stone Art by Gerard Fowke","4. Which of the following would be the best title for this passage?

a. ""The Names of Various Rocks""   
b. ""Why Granite Is Called Granite""   
c. ""The Classes of Rocks""   
d. ""Why Rocks Must Be Destroyed""   
e. ""The Difficulties of Identifying Rocks""","4. e. A strong title should reflect a selection's main idea, and this selection is mainly about the difficulties of identifying rocks. Choice a is not as specific to this particular topic as choice e, so it is not the best answer. The passage never indicates why a certain rock is called granite, so choice b is not a good title. Choice c makes the mistake of assuming the selection is mainly about rock classes when it is actually about rock names. Choice d just reflects a minor detail in the selection, but the best answer choice should reflect the entire main idea.","Use the following passage to answer questions 3 through 5.

It is not always easy to identify a stone, even with a fresh surface; in a weathered specimen it is often impossible. For this reason the material of which a specimen is made may not be correctly named; frequently the alteration due to exposure will change the appearance of a rock very much, and in such a case the best that can be done is to tell what it looks most like. The material of a majority of specimens, however, or at least the classes of rock to which they belong, as granite, porphyry, etc., are correctly named; to give a more exact name would be possible only by the destruction or injury of the specimen.

Source: Excerpt from Stone Art by Gerard Fowke

4. Which of the following would be the best title for this passage?

a. ""The Names of Various Rocks""   
b. ""Why Granite Is Called Granite""   
c. ""The Classes of Rocks""   
d. ""Why Rocks Must Be Destroyed""   
e. ""The Difficulties of Identifying Rocks""

Answer with the letter(s) only (e.g., A or AB). No explanation needed.",[],
q005,5,"Use the following passage to answer questions 3 through 5.

It is not always easy to identify a stone, even with a fresh surface; in a weathered specimen it is often impossible. For this reason the material of which a specimen is made may not be correctly named; frequently the alteration due to exposure will change the appearance of a rock very much, and in such a case the best that can be done is to tell what it looks most like. The material of a majority of specimens, however, or at least the classes of rock to which they belong, as granite, porphyry, etc., are correctly named; to give a more exact name would be possible only by the destruction or injury of the specimen.

Source: Excerpt from Stone Art by Gerard Fowke","5. What is the best definition for the word fresh as it is used in line 2 of the passage?

a. novel   
b. unmarked   
c. bright   
d. clean   
e. airy","5. b. Although each answer choice can be used as a synonym for fresh, only choice b makes sense in this particular context. Choice a would be appropriate only if the rock was new and unusual. Choices c and d refer to the surface appearance of the rock when the sentence refers to its physical state beyond the surface. Choice e is not a meaning of fresh one would use to describe a rock in any context.","Use the following passage to answer questions 3 through 5.

It is not always easy to identify a stone, even with a fresh surface; in a weathered specimen it is often impossible. For this reason the material of which a specimen is made may not be correctly named; frequently the alteration due to exposure will change the appearance of a rock very much, and in such a case the best that can be done is to tell what it looks most like. The material of a majority of specimens, however, or at least the classes of rock to which they belong, as granite, porphyry, etc., are correctly named; to give a more exact name would be possible only by the destruction or injury of the specimen.

Source: Excerpt from Stone Art by Gerard Fowke

5. What is the best definition for the word fresh as it is used in line 2 of the passage?

a. novel   
b. unmarked   
c. bright   
d. clean   
e. airy

Answer with the letter(s) only (e.g., A or AB). No explanation needed.",[],
q006,6,"Use the following passage to answer question 6.

The Pennsylvania Dutch are a hard working people and as they say, ""Them that works hard, eats hearty."" The blending of recipes from their many home lands and the ingredients available

5 in their new land produced tasty dishes that have been handed down from mother to daughter for generations.

Source: Excerpt from Pennsylvania Dutch Cooking","6. The author of this passage would most likely agree with which of the following statements?

a. The Pennsylvania Dutch people work harder than any other group of people in America.   
b. One of the distinguishing characteristics of the Pennsylvania Dutch people is their excellent cuisine.   
c. The Pennsylvania Dutch people are known throughout the world for their colorful and amusing sayings.   
d. No group of people blends recipes as well as the Pennsylvania Dutch people do.   
e. If fathers and sons in Pennsylvania Dutch families made food, it would not be as good as the food mothers and daughters make.","6. b. This short passage is about the distinctive food Pennsylvania Dutch people make and the qualities that make that food distinctive, so choice b is the statement with which the author is most likely to agree. Although the author refers to the fact that Pennsylvania Dutch people work hard, the author does not compare their work ethic to the work ethic of any other people, so choice a is not the best answer. The author never indicates how well known the Pennsylvania Dutch people are throughout the world, so choice c is not a strong answer either. Choice d makes another unsupported comparison, and choice e makes an unsupported assumption based on the fact that the author mentions only the cooking of Pennsylvania Dutch mothers and daughters.","Use the following passage to answer question 6.

The Pennsylvania Dutch are a hard working people and as they say, ""Them that works hard, eats hearty."" The blending of recipes from their many home lands and the ingredients available

5 in their new land produced tasty dishes that have been handed down from mother to daughter for generations.

Source: Excerpt from Pennsylvania Dutch Cooking

6. The author of this passage would most likely agree with which of the following statements?

a. The Pennsylvania Dutch people work harder than any other group of people in America.   
b. One of the distinguishing characteristics of the Pennsylvania Dutch people is their excellent cuisine.   
c. The Pennsylvania Dutch people are known throughout the world for their colorful and amusing sayings.   
d. No group of people blends recipes as well as the Pennsylvania Dutch people do.   
e. If fathers and sons in Pennsylvania Dutch families made food, it would not be as good as the food mothers and daughters make.

Answer with the letter(s) only (e.g., A or AB). No explanation needed.",[],
q007,7,"Use the following passage pair to answer questions 7 through 10.

# Passage 1

The variety of species among the jumping spiders appears almost infinite. The genus, or rather family of Epeira, is here characterized by many singular forms; some species have

5 pointed coriaceous shells, others enlarged and spiny tibiae. Every path in the forest is barricaded with the strong yellow web of a species belonging to the same division with the Epeira clavipes of Fabricius, which was formerly said   
10 by Sloane to make, in the West Indies, webs so strong as to catch birds. A small and pretty kind of spider, with very long forelegs, and which appears to belong to an undescribed genus, lives as a parasite on almost every one of these   
15 webs. I suppose it is too insignificant to be noticed by the great Epeira, and is therefore allowed to prey on the minute insects, which, adhering to the lines, would otherwise be wasted. When frightened, this little spider   
20 either feigns death by extending its front legs, or suddenly drops from the web.

Source: Excerpt from Some Wonderful Spiders by Charles Darwin

# Passage 2

There are, among spiders, two forms of protective modification: the first, including all cases of protective resemblance to vegetable and inorganic things—that is, all modifications of color

5 or of color and form that tend to make them inconspicuous in their natural relations—I shall call direct protection. The second form, which I shall call indirect protection, includes two classes, the spiders which are specially pro-  
10 tected themselves and those which mimic other creatures which are specially protected.

Spiders are specially protected when they become inedible through the acquisition of hard plates and sharp spines. The modification of form is frequently accompanied by conspicuous colors, which warn their enemies that they belong to an unpalatable class.

Source: Excerpt from Protective Resemblances in Spiders by Elizabeth G. Pechham","7. Which of the following best describes the relationship between Passage 1 and Passage 2?

a. Passage 1 makes an argument and Passage 2 contradicts it.   
b. Passage 1 introduces an idea and Passage 2 expands on it.   
c. Passage 1 introduces a difficult concept and Passage 2 explains it.   
d. Passage 1 states facts and Passage 2 states opinions.   
e. Passage 1 makes a claim and Passage 2 supports that claim.","7. b. Passage 1 introduces ways spider survive and Passage 2 expands on it by describing ways spiders protect themselves. Neither passage makes an argument (choice a); both accept the idea that spiders have unique ways of protecting themselves. Passage 2 does not explain anything about spiders that has not already been described in Passage 1, so choice c is incorrect. Both passages focus on facts without indulging in opinions, so choice d does not make sense. Passage 1 does not make a general claim about spiders that it does not support, so choice e is not the best answer choice.","Use the following passage pair to answer questions 7 through 10.

# Passage 1

The variety of species among the jumping spiders appears almost infinite. The genus, or rather family of Epeira, is here characterized by many singular forms; some species have

5 pointed coriaceous shells, others enlarged and spiny tibiae. Every path in the forest is barricaded with the strong yellow web of a species belonging to the same division with the Epeira clavipes of Fabricius, which was formerly said   
10 by Sloane to make, in the West Indies, webs so strong as to catch birds. A small and pretty kind of spider, with very long forelegs, and which appears to belong to an undescribed genus, lives as a parasite on almost every one of these   
15 webs. I suppose it is too insignificant to be noticed by the great Epeira, and is therefore allowed to prey on the minute insects, which, adhering to the lines, would otherwise be wasted. When frightened, this little spider   
20 either feigns death by extending its front legs, or suddenly drops from the web.

Source: Excerpt from Some Wonderful Spiders by Charles Darwin

# Passage 2

There are, among spiders, two forms of protective modification: the first, including all cases of protective resemblance to vegetable and inorganic things—that is, all modifications of color

5 or of color and form that tend to make them inconspicuous in their natural relations—I shall call direct protection. The second form, which I shall call indirect protection, includes two classes, the spiders which are specially pro-  
10 tected themselves and those which mimic other creatures which are specially protected.

Spiders are specially protected when they become inedible through the acquisition of hard plates and sharp spines. The modification of form is frequently accompanied by conspicuous colors, which warn their enemies that they belong to an unpalatable class.

Source: Excerpt from Protective Resemblances in Spiders by Elizabeth G. Pechham

7. Which of the following best describes the relationship between Passage 1 and Passage 2?

a. Passage 1 makes an argument and Passage 2 contradicts it.   
b. Passage 1 introduces an idea and Passage 2 expands on it.   
c. Passage 1 introduces a difficult concept and Passage 2 explains it.   
d. Passage 1 states facts and Passage 2 states opinions.   
e. Passage 1 makes a claim and Passage 2 supports that claim.

Answer with the letter(s) only (e.g., A or AB). No explanation needed.",[],
q008,8,"Use the following passage pair to answer questions 7 through 10.

# Passage 1

The variety of species among the jumping spiders appears almost infinite. The genus, or rather family of Epeira, is here characterized by many singular forms; some species have

5 pointed coriaceous shells, others enlarged and spiny tibiae. Every path in the forest is barricaded with the strong yellow web of a species belonging to the same division with the Epeira clavipes of Fabricius, which was formerly said   
10 by Sloane to make, in the West Indies, webs so strong as to catch birds. A small and pretty kind of spider, with very long forelegs, and which appears to belong to an undescribed genus, lives as a parasite on almost every one of these   
15 webs. I suppose it is too insignificant to be noticed by the great Epeira, and is therefore allowed to prey on the minute insects, which, adhering to the lines, would otherwise be wasted. When frightened, this little spider   
20 either feigns death by extending its front legs, or suddenly drops from the web.

Source: Excerpt from Some Wonderful Spiders by Charles Darwin

# Passage 2

There are, among spiders, two forms of protective modification: the first, including all cases of protective resemblance to vegetable and inorganic things—that is, all modifications of color

5 or of color and form that tend to make them inconspicuous in their natural relations—I shall call direct protection. The second form, which I shall call indirect protection, includes two classes, the spiders which are specially pro-  
10 tected themselves and those which mimic other creatures which are specially protected.

Spiders are specially protected when they become inedible through the acquisition of hard plates and sharp spines. The modification of form is frequently accompanied by conspicuous colors, which warn their enemies that they belong to an unpalatable class.

Source: Excerpt from Protective Resemblances in Spiders by Elizabeth G. Pechham","8. With which of the following statements about the undescribed genus of spider that lives in the West Indies would the author of Passage 1 most likely agree?

a. It deserves to be named.   
b. It is unimportant.   
c. It is uniquely attractive.   
d. It is an enemy of many animals.   
e. It is cowardly.","8. c. The author of Passage 1 describes the spider as pretty, and since its appearance is a significant enough trait of the spider to mention, it is likely that the author would agree that the spider is uniquely attractive. While the author acknowledges that the spider is undescribed, there is no evidence to support the idea that the author believes the spider deserves to be named, so choice a is not the best answer. There also isn't any evidence to support the idea that the spider is generally unimportant (choice b); if this were true, the author probably would not discuss it in this passage at all. The author only says the spider is a parasite, not an enemy of other animals, so choice d is not a strong answer. And though the spider sometimes gets frightened and pretends it is dead, this is more of a survival technique than an indication that the spider is cowardly (choice e).","Use the following passage pair to answer questions 7 through 10.

# Passage 1

The variety of species among the jumping spiders appears almost infinite. The genus, or rather family of Epeira, is here characterized by many singular forms; some species have

5 pointed coriaceous shells, others enlarged and spiny tibiae. Every path in the forest is barricaded with the strong yellow web of a species belonging to the same division with the Epeira clavipes of Fabricius, which was formerly said   
10 by Sloane to make, in the West Indies, webs so strong as to catch birds. A small and pretty kind of spider, with very long forelegs, and which appears to belong to an undescribed genus, lives as a parasite on almost every one of these   
15 webs. I suppose it is too insignificant to be noticed by the great Epeira, and is therefore allowed to prey on the minute insects, which, adhering to the lines, would otherwise be wasted. When frightened, this little spider   
20 either feigns death by extending its front legs, or suddenly drops from the web.

Source: Excerpt from Some Wonderful Spiders by Charles Darwin

# Passage 2

There are, among spiders, two forms of protective modification: the first, including all cases of protective resemblance to vegetable and inorganic things—that is, all modifications of color

5 or of color and form that tend to make them inconspicuous in their natural relations—I shall call direct protection. The second form, which I shall call indirect protection, includes two classes, the spiders which are specially pro-  
10 tected themselves and those which mimic other creatures which are specially protected.

Spiders are specially protected when they become inedible through the acquisition of hard plates and sharp spines. The modification of form is frequently accompanied by conspicuous colors, which warn their enemies that they belong to an unpalatable class.

Source: Excerpt from Protective Resemblances in Spiders by Elizabeth G. Pechham

8. With which of the following statements about the undescribed genus of spider that lives in the West Indies would the author of Passage 1 most likely agree?

a. It deserves to be named.   
b. It is unimportant.   
c. It is uniquely attractive.   
d. It is an enemy of many animals.   
e. It is cowardly.

Answer with the letter(s) only (e.g., A or AB). No explanation needed.",[],
q009,9,"Use the following passage pair to answer questions 7 through 10.

# Passage 1

The variety of species among the jumping spiders appears almost infinite. The genus, or rather family of Epeira, is here characterized by many singular forms; some species have

5 pointed coriaceous shells, others enlarged and spiny tibiae. Every path in the forest is barricaded with the strong yellow web of a species belonging to the same division with the Epeira clavipes of Fabricius, which was formerly said   
10 by Sloane to make, in the West Indies, webs so strong as to catch birds. A small and pretty kind of spider, with very long forelegs, and which appears to belong to an undescribed genus, lives as a parasite on almost every one of these   
15 webs. I suppose it is too insignificant to be noticed by the great Epeira, and is therefore allowed to prey on the minute insects, which, adhering to the lines, would otherwise be wasted. When frightened, this little spider   
20 either feigns death by extending its front legs, or suddenly drops from the web.

Source: Excerpt from Some Wonderful Spiders by Charles Darwin

# Passage 2

There are, among spiders, two forms of protective modification: the first, including all cases of protective resemblance to vegetable and inorganic things—that is, all modifications of color

5 or of color and form that tend to make them inconspicuous in their natural relations—I shall call direct protection. The second form, which I shall call indirect protection, includes two classes, the spiders which are specially pro-  
10 tected themselves and those which mimic other creatures which are specially protected.

Spiders are specially protected when they become inedible through the acquisition of hard plates and sharp spines. The modification of form is frequently accompanied by conspicuous colors, which warn their enemies that they belong to an unpalatable class.

Source: Excerpt from Protective Resemblances in Spiders by Elizabeth G. Pechham","9. In what way is Passage 1 different from Passage 2?

a. Passage 1 describes the behaviors of several animals.   
b. Passage 1 uses scientific research to support its conclusions.   
c. Passage 1 is written from a first-person perspective.   
d. Passage 1 includes personal opinions.   
e. Passage 1 describes how spiders use their bodies to protect themselves.","9. d. Only Passage 1 includes the author's personal opinions, as the author describes one spider as pretty, which is an opinion not everyone might share. Both passages describe behaviors of several kinds of spiders (choice a), and there is no reason to believe that the information in Passage 2 is not based on scientific research (choice b). Both passages use the first-person pronoun I, so choice c is incorrect. Both passages also discuss ways that spiders use their bodies to protect themselves, so choice e is wrong.","Use the following passage pair to answer questions 7 through 10.

# Passage 1

The variety of species among the jumping spiders appears almost infinite. The genus, or rather family of Epeira, is here characterized by many singular forms; some species have

5 pointed coriaceous shells, others enlarged and spiny tibiae. Every path in the forest is barricaded with the strong yellow web of a species belonging to the same division with the Epeira clavipes of Fabricius, which was formerly said   
10 by Sloane to make, in the West Indies, webs so strong as to catch birds. A small and pretty kind of spider, with very long forelegs, and which appears to belong to an undescribed genus, lives as a parasite on almost every one of these   
15 webs. I suppose it is too insignificant to be noticed by the great Epeira, and is therefore allowed to prey on the minute insects, which, adhering to the lines, would otherwise be wasted. When frightened, this little spider   
20 either feigns death by extending its front legs, or suddenly drops from the web.

Source: Excerpt from Some Wonderful Spiders by Charles Darwin

# Passage 2

There are, among spiders, two forms of protective modification: the first, including all cases of protective resemblance to vegetable and inorganic things—that is, all modifications of color

5 or of color and form that tend to make them inconspicuous in their natural relations—I shall call direct protection. The second form, which I shall call indirect protection, includes two classes, the spiders which are specially pro-  
10 tected themselves and those which mimic other creatures which are specially protected.

Spiders are specially protected when they become inedible through the acquisition of hard plates and sharp spines. The modification of form is frequently accompanied by conspicuous colors, which warn their enemies that they belong to an unpalatable class.

Source: Excerpt from Protective Resemblances in Spiders by Elizabeth G. Pechham

9. In what way is Passage 1 different from Passage 2?

a. Passage 1 describes the behaviors of several animals.   
b. Passage 1 uses scientific research to support its conclusions.   
c. Passage 1 is written from a first-person perspective.   
d. Passage 1 includes personal opinions.   
e. Passage 1 describes how spiders use their bodies to protect themselves.

Answer with the letter(s) only (e.g., A or AB). No explanation needed.",[],
q010,10,"Use the following passage pair to answer questions 7 through 10.

# Passage 1

The variety of species among the jumping spiders appears almost infinite. The genus, or rather family of Epeira, is here characterized by many singular forms; some species have

5 pointed coriaceous shells, others enlarged and spiny tibiae. Every path in the forest is barricaded with the strong yellow web of a species belonging to the same division with the Epeira clavipes of Fabricius, which was formerly said   
10 by Sloane to make, in the West Indies, webs so strong as to catch birds. A small and pretty kind of spider, with very long forelegs, and which appears to belong to an undescribed genus, lives as a parasite on almost every one of these   
15 webs. I suppose it is too insignificant to be noticed by the great Epeira, and is therefore allowed to prey on the minute insects, which, adhering to the lines, would otherwise be wasted. When frightened, this little spider   
20 either feigns death by extending its front legs, or suddenly drops from the web.

Source: Excerpt from Some Wonderful Spiders by Charles Darwin

# Passage 2

There are, among spiders, two forms of protective modification: the first, including all cases of protective resemblance to vegetable and inorganic things—that is, all modifications of color

5 or of color and form that tend to make them inconspicuous in their natural relations—I shall call direct protection. The second form, which I shall call indirect protection, includes two classes, the spiders which are specially pro-  
10 tected themselves and those which mimic other creatures which are specially protected.

Spiders are specially protected when they become inedible through the acquisition of hard plates and sharp spines. The modification of form is frequently accompanied by conspicuous colors, which warn their enemies that they belong to an unpalatable class.

Source: Excerpt from Protective Resemblances in Spiders by Elizabeth G. Pechham","10. The primary concern of Passage 2 is

a. establishing a definition of the term protective modification.   
b. describing how the colors of their bodies help to protect spiders.   
c. identifying why certain spiders have sharp spines on their bodies.   
d. providing details about the Epeira clavipes of Fabricius.   
e. explaining the two main ways spiders use their bodies to protect themselves.","10. e. Passage 2 is mainly concerned with explaining two ways spiders use their bodies to protect themselves: their protective resemblance to vegetable and inorganic things in the first paragraph and their inedible bodies in the second paragraph. The passage never actually defines the term protective modification, so choice a cannot be true. Choices b and c are just supporting details in the passage. Choice d refers to Passage 1, not Passage 2, which does not mention the Epeira clavipes of Fabricius at all.","Use the following passage pair to answer questions 7 through 10.

# Passage 1

The variety of species among the jumping spiders appears almost infinite. The genus, or rather family of Epeira, is here characterized by many singular forms; some species have

5 pointed coriaceous shells, others enlarged and spiny tibiae. Every path in the forest is barricaded with the strong yellow web of a species belonging to the same division with the Epeira clavipes of Fabricius, which was formerly said   
10 by Sloane to make, in the West Indies, webs so strong as to catch birds. A small and pretty kind of spider, with very long forelegs, and which appears to belong to an undescribed genus, lives as a parasite on almost every one of these   
15 webs. I suppose it is too insignificant to be noticed by the great Epeira, and is therefore allowed to prey on the minute insects, which, adhering to the lines, would otherwise be wasted. When frightened, this little spider   
20 either feigns death by extending its front legs, or suddenly drops from the web.

Source: Excerpt from Some Wonderful Spiders by Charles Darwin

# Passage 2

There are, among spiders, two forms of protective modification: the first, including all cases of protective resemblance to vegetable and inorganic things—that is, all modifications of color

5 or of color and form that tend to make them inconspicuous in their natural relations—I shall call direct protection. The second form, which I shall call indirect protection, includes two classes, the spiders which are specially pro-  
10 tected themselves and those which mimic other creatures which are specially protected.

Spiders are specially protected when they become inedible through the acquisition of hard plates and sharp spines. The modification of form is frequently accompanied by conspicuous colors, which warn their enemies that they belong to an unpalatable class.

Source: Excerpt from Protective Resemblances in Spiders by Elizabeth G. Pechham

10. The primary concern of Passage 2 is

a. establishing a definition of the term protective modification.   
b. describing how the colors of their bodies help to protect spiders.   
c. identifying why certain spiders have sharp spines on their bodies.   
d. providing details about the Epeira clavipes of Fabricius.   
e. explaining the two main ways spiders use their bodies to protect themselves.

Answer with the letter(s) only (e.g., A or AB). No explanation needed.",[],
